Name,Artist,File,Image
Test wave,Admin,test.wav,test.png
Test Sound,Admin,song1.mp3,test.png
Haciendo que me amas ,Bad Bunny,song3.mp3,img2.jpg
Memories,David Guetta ft. Kid Cudi,song3.mp3,img3.jpg
Tuesday,ILOVEMAKONNEN (FEAT. DRAKE),song4.mp3,img4.jpg
Redbone,Childish Gambino,song5.mp3,img5.jpg
Tequila Shots,Kid Cudi,song6.mp3,img6.jpg
20 Min,Lil Uzi Vert,song7.mp3,img7.jpg
Money Trees,Kendrick Lamar,song8.mp3,img8.jpg
Life Goes On,Oliver Tree,song9.mp3,img9.jpg
STAY,The Kid LAROI ft Justin Bieber,song10.mp3,img10.jpg
Doomsday,MF DOOM,song11.mp3,img11.jpg
Goosebumps,Travis Scot ft. Kendrick Lamar,song12.mp3,img12.jpg
Orion,Metallica,song13.mp3,img13.jpg
Blue Bossa,John Stowell,song14.mp3,img14.jpg
Mr. Sun (miss da sun),Greentea Peng,song15.mp3,img15.jpg
